7.623707, 4.196625, -3.015565, 0.059948
7.475091, 4.165485, -2.884075, 0.025685
7.335403, 4.120992, -2.760440, 0.038226
7.206631, 4.044102, -2.399437, 0.047852
7.108386, 3.873880, -2.021459, 0.050663
6.985656, 3.597738, -1.813338, 0.049678
6.924291, 3.260231, -1.580591, 0.081624
6.954974, 3.030112, -1.673930, 0.166001
7.062362, 2.723288, -1.804850, 0.137631
7.139069, 2.462487, -2.595606, 0.147627
7.200433, 2.155662, -2.817450, 0.145822
7.139069, 1.879520, -3.003604, 0.170231
6.985656, 1.511330, 0.000000, 0.166752
6.694173, 1.250529, 0.000000, 0.183863
6.233936, 0.928363, 0.000000, 0.254067
5.865746, 0.728927, -3.119329, 0.304400
5.359486, 0.452785, 0.000000, 0.430715
4.669130, 0.314714, 3.139246, 0.558470
4.086163, 0.222667, 0.000000, 0.619292
3.518538, 0.161302, -3.130257, 0.573046
3.165690, 0.099937, 0.000000, 0.629841
2.690111, 0.038572, -3.096631, 0.700562
1.984415, -0.007452, -3.098224, 0.796139
1.217353, -0.053475, -3.107550, 0.890920
0.526998, -0.099499, -3.098241, 0.940109
-0.316770, -0.145523, -3.054995, 0.775504
-1.037808, -0.160864, -2.982020, 0.610345
-1.605433, -0.206888, -2.867960, 0.452871
-2.096353, -0.237570, -2.710550, 0.280197
-2.403177, -0.283594, -2.571002, 0.132743
-2.710002, -0.344959, -1.940907, 0.085551
-2.970803, -0.529054, -1.611466, 0.040431
-2.955462, -0.912584, -1.197750, 0.028551
-2.848073, -1.112020, -1.056241, 0.020593
-2.679320, -1.234750, -0.492419, 0.040798
-2.295789, -1.372821, 0.000000, 0.107695
-1.942940, -1.403504, -0.189769, 0.151696
-1.390656, -1.434186, -0.059110, 0.294724
-0.761666, -1.464869, 0.062964, 0.410539
-0.055969, -1.311456, 0.114977, 0.544666
1.033258, -1.234750, 0.107965, 0.611348
2.015097, -1.372821, 0.125276, 0.530786
2.797500, -1.434186, 0.129278, 0.656405
3.515498, -1.460859, 0.121681, 0.757716
4.383535, -1.351274, 0.136163, 0.868720
5.183909, -1.227375, 0.171659, 0.783409
5.945040, -1.081372, 0.206988, 0.606292
6.532943, -0.945350, 0.264732, 0.556067
6.961092, -0.802403, 0.395636, 0.543502
7.336001, -0.603913, 0.570949, 0.500081
7.716332, -0.326647, 0.664623, 0.403837
8.107107, -0.022352, 0.676038, 0.347789
8.420513, 0.263711, 0.820619, 0.335703
8.637937, 0.540701, 0.991716, 0.327238
8.795501, 0.828551, 1.146640, 0.297055
8.911809, 1.147766, 1.291323, 0.290832
8.991841, 1.514870, 1.415922, 0.309208
9.033160, 1.930774, 1.521708, 0.319047
9.035863, 2.348843, 1.613292, 0.311578
8.996588, 2.723302, 1.745542, 0.298763
8.911297, 3.054277, 1.906052, 0.304961
8.773967, 3.358551, 2.081410, 0.255947
8.612266, 3.608443, 2.189537, 0.215989
8.455070, 3.818611, 2.270749, 0.174243
8.289147, 3.978229, 2.468276, 0.140351
8.118554, 4.095729, 2.630309, 0.109786
7.941441, 4.169425, 2.862100, 0.079973
7.781296, 4.199305, 3.055079, 0.079367
