7.637618, 4.079307, -2.846036, 0.035019
7.479310, 4.007439, -2.580003, 0.050517
7.347948, 3.894962, -2.299162, 0.040277
7.240555, 3.750339, -2.142373, 0.054947
7.151476, 3.577497, -1.922207, 0.089220
7.113131, 3.358689, -1.610503, 0.148438
7.108292, 3.070093, -1.622485, 0.206642
7.068094, 2.686651, -1.712965, 0.252185
6.963644, 2.129512, -1.821078, 0.364041
6.776129, 1.614192, -2.016243, 0.377913
6.563368, 1.225739, -2.124457, 0.321485
6.336954, 0.923875, -2.333524, 0.280153
6.068220, 0.708278, -2.585423, 0.257357
5.773379, 0.562491, -2.773496, 0.282278
5.417021, 0.461386, -2.950628, 0.323269
4.930289, 0.435768, -3.098045, 0.411128
4.127794, 0.424137, 3.116608, 0.536284
3.118068, 0.408470, -3.098761, 0.671471
2.150633, 0.342725, -3.031113, 0.785775
1.127161, 0.272943, -3.114352, 0.870837
0.116556, 0.231159, -3.110475, 0.685894
-0.723828, 0.159189, -3.008881, 0.500227
-1.248945, 0.064952, -2.877886, 0.356828
-1.599958, -0.076997, -2.629695, 0.232769
-1.810336, -0.208755, -2.550572, 0.133202
-1.977356, -0.339254, -2.353851, 0.082660
-2.083613, -0.495590, -1.984031, 0.061467
-2.129491, -0.661804, -1.702896, 0.033835
-2.133133, -0.825207, -1.495388, 0.008595
-2.109035, -0.972574, -1.302586, 0.015608
-2.051051, -1.104687, -1.008212, 0.019970
-1.952672, -1.226281, -0.798358, 0.028245
-1.815402, -1.341412, -0.575997, 0.051409
-1.628271, -1.419815, -0.238940, 0.092724
-1.398288, -1.458793, -0.145077, 0.157834
-1.089534, -1.498341, -0.091825, 0.232813
-0.516690, -1.497943, 0.063932, 0.349053
0.359557, -1.471612, 0.024506, 0.495303
1.519156, -1.417138, 0.052433, 0.655660
2.762118, -1.328601, 0.076471, 0.802487
4.130981, -1.225462, 0.079216, 0.944589
5.220625, -1.115269, 0.140008, 0.991713
6.062264, -0.952252, 0.246462, 0.853204
6.822168, -0.715845, 0.357748, 0.707986
7.499897, -0.421050, 0.465886, 0.551619
8.005212, -0.123463, 0.612186, 0.448070
8.355748, 0.169222, 0.791712, 0.395814
8.612243, 0.489346, 0.998805, 0.367582
8.801155, 0.852046, 1.177537, 0.355777
8.939315, 1.282388, 1.335844, 0.354572
9.022372, 1.791491, 1.477948, 0.365385
9.036494, 2.311739, 1.615730, 0.389078
8.971590, 2.791934, 1.802153, 0.415937
8.820808, 3.243928, 1.978498, 0.283045
8.654375, 3.576611, 2.080016, 0.221862
8.510107, 3.814681, 2.187714, 0.146366
8.326354, 3.971397, 2.573942, 0.118291
8.145416, 4.069813, 2.860402, 0.085858
7.966594, 4.105719, 3.029590, 0.052083
7.801562, 4.109343, -3.067956, 0.042581
