8.706719, 4.922714, 0.593597, 0.068659
8.912602, 5.011668, 0.243488, 0.040998
9.111726, 5.035439, 0.003444, 0.023603
9.317470, 5.007603, -0.299687, 0.022198
9.522059, 4.889214, -0.767318, 0.047361
9.678409, 4.663759, -1.055795, 0.074984
9.826973, 4.386430, -1.127024, 0.136356
9.976168, 3.947753, -1.373353, 0.280246
10.012508, 3.385311, -1.601919, 0.322465
9.933461, 2.657044, -1.749010, 0.362268
9.736525, 1.896796, -1.905571, 0.393862
9.471064, 1.317436, -2.117444, 0.363500
9.115909, 0.868671, -2.364308, 0.363032
8.596013, 0.458352, -2.549311, 0.378618
7.878954, 0.043938, -2.694432, 0.452750
7.078511, -0.262095, -2.853673, 0.577373
6.162979, -0.462860, -2.990385, 0.668395
5.084829, -0.564598, -3.095467, 0.823886
3.771650, -0.581397, 3.134754, 0.986578
2.366789, -0.550556, 3.097991, 0.993852
1.176395, -0.457161, 3.018281, 0.750201
0.278323, -0.280570, 2.849926, 0.512707
-0.349723, -0.055074, 2.776594, 0.276315
-0.682813, 0.105636, 2.530242, 0.133427
-0.892613, 0.340930, 2.021302, 0.104736
-0.965200, 0.599320, 1.738272, 0.074552
-0.988124, 0.847957, 1.565158, 0.074517
-0.952453, 1.107637, 1.293117, 0.089890
-0.824277, 1.370235, 0.929430, 0.085883
-0.615028, 1.574413, 0.648495, 0.093866
-0.334668, 1.737807, 0.399801, 0.134075
0.070890, 1.846875, 0.154132, 0.225104
0.693435, 1.882897, -0.009280, 0.358821
1.834770, 1.831774, -0.040014, 0.584837
3.246194, 1.790283, -0.043996, 0.799179
4.658229, 1.714089, -0.043558, 0.894509
5.758944, 1.711586, 0.055622, 0.647808
6.494441, 1.811182, 0.238799, 0.433177
7.021671, 2.002710, 0.471129, 0.313124
7.434397, 2.280925, 0.718680, 0.261442
7.764310, 2.649980, 0.959983, 0.262782
8.025920, 3.137199, 1.186468, 0.336168
8.232904, 3.834894, 1.346784, 0.367553
8.379899, 4.410331, 1.248140, 0.251632
8.521248, 4.724215, 1.006974, 0.129728
