7.668109, 4.110961, -2.859264, 0.000000
7.415865, 4.014868, -2.488920, 0.000000
7.235691, 3.834694, -2.202567, 0.000000
7.127586, 3.582450, -1.939174, 0.017496
7.067528, 3.330206, -1.590911, 0.118296
7.019481, 2.921810, -1.674582, 0.291542
6.971435, 2.321229, -1.810364, 0.402918
6.779249, 1.612543, -2.048858, 0.385847
6.466947, 0.987939, -2.220335, 0.178374
6.130621, 0.591556, -2.801489, 0.180342
5.494005, 0.423393, -3.030735, 0.218922
4.448994, 0.387358, 3.119814, 0.286642
2.747300, 0.386659, -3.068914, 0.837344
1.162607, 0.242631, -3.081307, 0.936646
-0.138493, 0.224562, -3.102750, 0.647844
-1.040147, 0.104474, -2.942371, 0.381714
-1.564364, -0.052144, -2.690546, 0.229036
-1.830828, -0.224630, -2.508551, 0.069070
-2.024332, -0.394383, -2.262652, 0.000000
-2.117426, -0.594021, -1.783180, 0.000000
-2.134384, -0.803395, -1.530104, 0.000000
-2.103929, -0.989938, -1.265917, 0.000000
-2.015551, -1.154461, -0.918363, 0.000000
-1.858695, -1.311195, -0.646466, 0.000000
-1.624758, -1.419117, -0.238693, 0.015917
-1.303064, -1.474407, -0.134024, 0.098670
-0.699614, -1.504464, 0.038217, 0.313935
0.720594, -1.441505, 0.020067, 0.876540
2.491266, -1.351002, 0.079340, 1.000000
4.488240, -1.194931, 0.089173, 1.000000
5.826549, -1.009164, 0.212138, 0.914711
6.883953, -0.691355, 0.366484, 0.669638
7.749185, -0.286261, 0.525574, 0.427293
8.281251, 0.097320, 0.745020, 0.309338
8.626611, 0.510104, 1.011272, 0.262392
8.860117, 1.012721, 1.243159, 0.250571
9.007906, 1.646372, 1.440218, 0.275184
9.031397, 2.346464, 1.625156, 0.292029
8.925562, 2.972853, 1.877203, 0.314121
8.701964, 3.486549, 2.055652, 0.241512
8.519734, 3.799052, 2.176989, 0.088381
8.352772, 3.990845, 2.628828, 0.020628
8.136562, 4.098949, 2.958826, 0.002667
7.908342, 4.122973, -3.131237, 0.000000
